"filename", "language", "Python", "TypeScript", "JSON", "JSON with Comments", "XML", "Markdown", "CSS", "Vue", "JavaScript", "HTML", "pip requirements", "JSON Lines", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\IR\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\lenovo\Desktop\IR\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\backend\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\backend\core\db.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41, 217
"c:\Users\lenovo\Desktop\IR\backend\database\init_database.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\lenovo\Desktop\IR\backend\main.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 63
"c:\Users\lenovo\Desktop\IR\backend\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\backend\routers\crawler.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"c:\Users\lenovo\Desktop\IR\backend\routers\history.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"c:\Users\lenovo\Desktop\IR\backend\routers\index.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\lenovo\Desktop\IR\backend\routers\preprocess.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\lenovo\Desktop\IR\backend\routers\search.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 22
"c:\Users\lenovo\Desktop\IR\backend\services\crawler_service.py", "Python", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33, 197
"c:\Users\lenovo\Desktop\IR\backend\services\history_service.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\lenovo\Desktop\IR\backend\services\index_service.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\lenovo\Desktop\IR\backend\services\preprocess_service.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\lenovo\Desktop\IR\backend\services\search_service.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\lenovo\Desktop\IR\backend\utils\checkfile.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 89
"c:\Users\lenovo\Desktop\IR\crawler\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\crawler\config.json", "JSON with Comments", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121
"c:\Users\lenovo\Desktop\IR\crawler\crawler.py", "Python", 954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 241, 1359
"c:\Users\lenovo\Desktop\IR\crawler\progress.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\lenovo\Desktop\IR\data\readme.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\lenovo\Desktop\IR\index\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\index\inverted_index.py", "Python", 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 92, 521
"c:\Users\lenovo\Desktop\IR\index\readme.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\preprocess\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\preprocess\config.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\lenovo\Desktop\IR\preprocess\preprocess.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 81, 392
"c:\Users\lenovo\Desktop\IR\preprocess\readme.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\lenovo\Desktop\IR\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\retrieval\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\retrieval\readme.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\retrieval\search_engine.py", "Python", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 54, 310
"c:\Users\lenovo\Desktop\IR\run.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\lenovo\Desktop\IR\ui\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\lenovo\Desktop\IR\ui\auto-imports.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 11
"c:\Users\lenovo\Desktop\IR\ui\components.d.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 73
"c:\Users\lenovo\Desktop\IR\ui\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\lenovo\Desktop\IR\ui\electron\preload.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 1, 6
"c:\Users\lenovo\Desktop\IR\ui\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\lenovo\Desktop\IR\ui\package-lock.json", "JSON", 0, 0, 7817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7818
"c:\Users\lenovo\Desktop\IR\ui\package.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\lenovo\Desktop\IR\ui\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\IR\ui\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 25, 189
"c:\Users\lenovo\Desktop\IR\ui\src\api\RAG.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\ui\src\api\crawler.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\lenovo\Desktop\IR\ui\src\api\history.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\lenovo\Desktop\IR\ui\src\api\index.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\lenovo\Desktop\IR\ui\src\api\preprocess.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\lenovo\Desktop\IR\ui\src\api\search.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\lenovo\Desktop\IR\ui\src\api\settings.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\ui\src\assets\css\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\lenovo\Desktop\IR\ui\src\assets\js\tmp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\RAG-chat.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 479, 0, 0, 0, 0, 4, 72, 555
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\breadcrumb.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 13, 57
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\github.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\history-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 11, 87
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\html-viewer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 47, 350
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\logo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\resultcard.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 9, 136
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\search-box.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 14, 91
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\search-history.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 452, 0, 0, 0, 0, 4, 70, 526
"c:\Users\lenovo\Desktop\IR\ui\src\components\baseui\tabs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 1, 30, 201
"c:\Users\lenovo\Desktop\IR\ui\src\components\layouts\footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\IR\ui\src\components\layouts\header.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\lenovo\Desktop\IR\ui\src\main.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\lenovo\Desktop\IR\ui\src\router\index.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"c:\Users\lenovo\Desktop\IR\ui\src\stores\searchStore.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\lenovo\Desktop\IR\ui\src\stores\themeStore.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 88
"c:\Users\lenovo\Desktop\IR\ui\src\style.css", "CSS", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\lenovo\Desktop\IR\ui\src\views\CrawlerConfig.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 832, 0, 0, 0, 0, 0, 75, 907
"c:\Users\lenovo\Desktop\IR\ui\src\views\DocCrawler.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 659, 0, 0, 0, 0, 3, 111, 773
"c:\Users\lenovo\Desktop\IR\ui\src\views\DocPrepare.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 888, 0, 0, 0, 0, 9, 109, 1006
"c:\Users\lenovo\Desktop\IR\ui\src\views\DocSearch.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\IR\ui\src\views\History.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\lenovo\Desktop\IR\ui\src\views\Setting.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 1, 35, 219
"c:\Users\lenovo\Desktop\IR\ui\src\views\SnapShot.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 16, 96
